real12,pred12,real3,pred3
65.77778,65.04454,63.444443,64.36566
67.625,64.873505,64.875,64.08807
66.75,65.01164,67.75,64.06476
63.88889,65.216545,66.22222,64.01203
66.875,65.277336,66.5,64.47212
68.22222,65.45876,50.875,64.9171
66.25,65.82362,61.444443,65.06633
67.125,66.14446,64.0,65.06314
64.888885,66.06937,67.0,64.521935
58.625,66.10579,65.77778,64.65352
64.666664,66.37384,67.625,64.91432
66.75,66.30013,66.75,64.972046
65.77778,66.372505,63.88889,65.289406
66.375,66.29661,66.875,65.61303
68.75,66.74922,68.22222,66.06844
67.111115,66.88715,66.25,65.9282
67.875,66.96248,67.125,66.1545
66.375,67.18459,64.888885,66.563805
68.55556,67.11187,58.625,66.650505
67.875,67.09059,64.666664,66.78574
67.28571,67.04773,66.75,66.76608
66.0,67.29385,65.77778,66.74002
64.666664,67.23469,66.375,66.6028
66.77778,67.351776,68.75,66.79998
65.5,67.44922,67.111115,66.55778
67.5,67.61659,67.875,66.75032
65.125,68.046486,66.375,67.12519
66.111115,68.02958,68.55556,67.184395
68.625,67.922356,67.875,67.49464
68.44444,68.09221,67.28571,67.60154
67.75,68.19322,66.0,67.80142
68.25,68.29352,64.666664,67.99615
67.125,68.29666,66.77778,68.018295
69.125,68.2942,65.5,67.9365
67.0,67.973526,67.5,67.555534
65.375,67.88651,65.125,67.54611
67.125,67.62145,66.111115,67.38583
67.71429,67.50112,68.625,67.497444
67.375,67.179665,68.44444,67.24406
68.111115,67.05525,67.75,67.20018
65.25,67.08255,68.25,67.471115
67.333336,67.18939,67.125,67.68423
64.25,67.108116,69.125,67.71366
65.77778,67.28032,67.0,67.91472
64.875,67.20949,65.375,67.87235
67.0,67.32629,67.125,68.05774
66.57143,67.158165,67.71429,67.883286
66.0,66.656235,67.375,67.30215
67.5,66.4112,68.111115,67.16126
63.125,66.22974,65.25,67.09095
63.88889,66.02264,67.333336,66.9678
67.125,66.00706,64.25,66.96499
67.625,65.65441,65.77778,66.522675
66.0,65.709045,64.875,66.609436
64.5,65.35172,67.0,66.15572
66.77778,65.23512,66.57143,66.03451
64.25,65.09984,66.0,65.81978
66.125,65.184525,67.5,65.9301
66.0,65.28191,63.125,66.00932
64.875,65.260956,63.88889,65.88594
67.75,65.280014,67.125,66.02604
65.75,64.89227,67.625,65.4694
64.75,64.92634,66.0,65.289116
65.44444,65.13082,64.5,65.64912
66.75,65.37652,66.77778,65.90994
65.875,65.28623,64.25,65.76077
64.625,65.36719,66.125,65.59604
65.55556,65.47493,66.0,65.78356
65.25,65.36149,64.875,65.515564
66.0,65.52539,67.75,65.644424
66.111115,65.59866,65.75,65.70926
65.0,65.67967,64.75,65.64761
64.22222,66.00542,65.44444,66.02385
63.0,65.98036,66.75,65.988106
66.888885,65.8279,65.875,65.79492
65.375,65.81031,64.625,65.7847
67.375,65.97789,65.55556,65.94938
68.0,65.97084,65.25,65.97591
66.111115,65.849365,66.0,65.79575
67.75,65.93394,66.111115,65.865875
66.25,65.99046,65.0,65.91075
67.125,65.9998,64.22222,65.9301
66.44444,65.97903,63.0,65.92274
67.75,65.92207,66.888885,65.77218
65.55556,65.92483,65.375,65.68924
65.0,65.886604,67.375,65.50085
67.14286,66.01285,68.0,65.68906
67.25,66.04803,66.111115,65.76974
65.875,66.1843,67.75,65.99065
66.111115,66.19614,66.25,66.23387
65.333336,66.11101,67.125,66.11629
0.0,66.18095,66.44444,66.367584
0.0,66.20316,67.75,66.346306
0.0,66.266785,65.55556,66.41844
0.0,66.36566,65.0,66.44942
0.0,66.540054,67.14286,66.666245
0.0,66.41231,67.25,66.484955
0.0,66.355225,65.875,66.340195
0.0,66.458565,66.111115,66.48255
0.0,66.538345,65.333336,66.58883
66.25,66.38151,0.0,66.40164
65.5,66.296524,0.0,66.28003
64.666664,66.23802,0.0,66.20199
67.0,66.65366,0.0,66.500534
67.28571,66.41954,0.0,66.63602
66.125,66.83973,0.0,66.73837
65.0,67.241806,0.0,67.208115
66.0,67.55184,0.0,67.51893
64.666664,67.63786,0.0,67.51906
66.75,67.6441,66.25,67.39445
68.111115,67.57318,65.5,67.22944
67.25,67.52983,64.666664,67.13054
66.5,67.252464,67.0,67.14843
63.555557,66.6414,67.28571,66.316086
66.625,66.288315,66.125,66.02401
67.5,66.43631,65.0,66.29847
68.125,66.395874,66.0,66.32646
67.0,66.35089,64.666664,66.26718
66.75,66.28569,66.75,66.09991
65.625,66.339035,68.111115,66.12902
66.71429,66.23885,67.25,65.97611
64.375,66.37764,66.5,66.18948
68.44444,66.745186,63.555557,66.642044
68.14286,66.84447,66.625,66.73146
67.375,66.867004,67.5,66.73901
67.57143,66.59376,68.125,66.37751
67.111115,66.872604,67.0,66.67828
67.125,67.38775,66.75,67.236786
67.55556,67.72704,65.625,67.60622
67.625,67.49927,66.71429,67.448006
67.25,67.33449,64.375,67.316124
68.75,67.08398,68.44444,66.99154
68.25,67.332146,68.14286,67.16912
68.111115,67.07886,67.375,66.76292
66.5,67.62935,67.57143,67.46617
67.625,67.825516,67.111115,67.6887
67.0,67.61676,67.125,67.49226
68.125,67.64914,67.55556,67.50645
68.125,67.804504,67.625,67.60177
69.875,67.74576,67.25,67.59542
68.111115,67.791084,68.75,67.66231
68.25,67.79403,68.25,67.68011
69.0,67.76711,68.111115,67.64291
69.666664,67.950554,66.5,67.87963
69.0,67.96729,67.625,67.91453
67.77778,67.98163,67.0,67.92179
67.25,67.73487,68.125,67.62003
68.125,67.79747,68.125,67.6928
69.77778,67.72741,69.875,67.60733
69.75,67.86604,68.111115,67.7607
68.77778,68.18497,68.25,67.95615
67.625,68.647835,69.0,68.37895
69.77778,68.132904,69.666664,68.14242
68.875,68.105515,69.0,68.11813
69.625,68.37949,67.77778,68.40405
69.5,68.59702,67.25,68.66406
68.625,68.90574,68.125,68.82173
69.5,69.05868,69.77778,68.70972
68.888885,68.90173,69.75,68.5918
68.875,68.754166,68.77778,68.568726
69.375,68.91069,67.625,68.82288
68.55556,68.99698,69.77778,68.94467
69.25,68.991974,68.875,68.92738
69.666664,68.80719,69.625,68.71774
68.25,68.99642,69.5,68.96901
68.875,68.67693,68.625,68.72328
69.0,68.66276,69.5,68.719086
69.375,68.65338,68.888885,68.74854
68.125,68.412125,68.875,68.53627
68.75,68.60371,69.375,68.683846
69.375,68.50365,68.55556,68.561874
69.0,68.63814,69.25,68.64382
69.5,68.8542,69.666664,68.85559
69.0,68.94144,68.25,68.97541
68.111115,68.96365,68.875,69.00505
68.375,68.94324,69.0,68.99812
68.25,68.78418,69.375,68.85871
67.75,68.7193,68.125,68.75532
67.75,68.73396,68.75,68.77892
68.111115,68.58811,69.375,68.76322
69.375,68.40277,69.0,68.59034
69.111115,68.28811,69.5,68.456894
69.375,68.48962,69.0,68.632034
68.625,68.58276,68.111115,68.70781
68.888885,68.47675,68.375,68.72665
67.625,68.53567,68.25,68.74534
66.888885,68.5627,67.75,68.67388
68.25,68.45831,67.75,68.567314
66.8,68.324265,68.111115,68.46143
67.85714,68.10093,69.375,68.25946
68.77778,68.02588,69.111115,68.220726
66.888885,67.84593,69.375,68.09153
67.75,67.95355,68.625,68.23904
68.111115,67.968506,68.888885,68.258156
69.28571,68.09111,67.625,68.374756
68.125,68.10726,66.888885,68.360085
68.5,68.131615,68.25,68.36816
67.75,67.97663,66.8,68.11505
68.333336,67.81861,67.85714,67.85879
68.5,67.936584,68.77778,67.973114
68.77778,67.91609,66.888885,67.88664
68.875,67.91015,67.75,67.9247
68.875,68.02758,68.111115,68.05812
67.666664,67.918106,69.28571,67.91465
68.0,67.8764,68.125,67.86223
68.44444,67.943886,68.5,67.96955
68.875,68.0507,67.75,68.12984
66.22222,67.97499,68.333336,68.05351
59.625,67.94366,68.5,68.01812
58.875,67.82825,68.77778,67.845634
68.44444,67.93258,68.875,67.97505
65.75,68.09826,68.875,68.18062
68.55556,68.200424,67.666664,68.30118
64.5,68.2337,68.0,68.357285
67.22222,68.24566,68.44444,68.33103
68.875,68.17974,68.875,68.238304
66.625,68.17473,66.22222,68.220894
67.666664,68.20364,59.625,68.249916
67.125,68.21049,58.875,68.29208
66.875,67.931114,68.44444,67.94368
67.888885,67.86639,65.75,67.738365
66.44444,67.80734,68.55556,67.29524
67.625,67.913055,64.5,67.93263
59.88889,67.61361,67.22222,67.67973
69.875,67.54725,68.875,67.68066
65.75,67.30614,66.625,67.21403
66.375,67.2911,67.666664,67.21319
67.22222,67.360435,67.125,67.44772
66.888885,67.270256,66.875,67.37336
65.625,67.14649,67.888885,67.28967
67.0,67.05759,66.44444,67.201515
65.375,66.99904,67.625,67.12969
68.625,67.03447,59.88889,67.251945
66.666664,66.88554,69.875,67.07
67.25,66.86665,65.75,67.1233
68.22222,67.06658,66.375,67.343445
69.75,67.16258,67.22222,67.50821
69.5,66.87656,66.888885,67.25425
68.625,66.95122,65.625,67.168495
66.5,67.22578,67.0,67.277626
65.55556,67.19061,65.375,67.295525
67.875,66.868645,68.625,66.91546
68.125,66.77505,66.666664,66.893105
65.125,66.68708,67.25,66.80924
67.22222,66.72548,68.22222,66.87357
65.0,66.620766,69.75,66.81963
68.0,66.517876,69.5,66.70523
63.375,66.6951,68.625,66.92301
67.625,66.69708,66.5,67.01017
66.125,66.943726,65.55556,67.23667
65.666664,67.15215,67.875,67.39523
68.85714,67.35141,68.125,67.42567
67.5,67.49719,65.125,67.47309
64.333336,67.70093,67.22222,67.69229
63.375,67.60571,65.0,67.68537
67.14286,67.12086,68.0,67.30026
68.25,66.890396,63.375,67.16299
67.25,66.588066,67.625,66.92267
63.625,66.34664,66.125,66.81384
65.625,66.15407,65.666664,66.646866
62.88889,65.87891,68.85714,66.51568
63.88889,65.66267,67.5,66.38984
64.71429,65.40539,64.333336,66.15933
64.5,65.54625,63.375,66.34965
59.625,65.64733,67.14286,66.39681
60.88889,65.50483,68.25,66.2107
65.125,65.19166,67.25,65.853645
68.55556,65.26495,63.625,65.96497
63.875,65.36038,65.625,66.08294
66.625,65.22706,62.88889,66.01553
69.75,65.1633,63.88889,65.974
68.55556,64.93391,64.71429,65.71202
68.0,64.406494,64.5,65.13335
64.5,63.87513,59.625,64.625565
59.333332,63.65574,60.88889,64.39918
64.111115,63.48491,65.125,63.947414
56.25,63.096928,68.55556,62.98291
68.25,63.08382,63.875,63.295845
66.888885,63.08942,66.625,63.107693
64.625,63.77853,69.75,63.94857
65.55556,63.710197,68.55556,63.81784
65.375,63.724262,68.0,63.76128
62.11111,64.38912,64.5,64.719154
64.25,64.94293,59.333332,64.90755
57.77778,65.12092,64.111115,65.07141
64.625,65.38312,56.25,65.05438
60.77778,65.64859,68.25,65.19284
62.375,65.67818,66.888885,65.056274
65.55556,66.1194,64.625,65.05729
64.5,65.71076,65.55556,64.91543
66.0,65.46755,65.375,64.91285
65.125,65.073235,62.11111,64.62319
68.42857,65.33043,64.25,64.89166
68.0,65.91416,57.77778,65.082275
68.22222,66.018906,64.625,64.8237
67.875,65.92039,60.77778,64.8784
65.25,66.29219,62.375,64.67425
65.22222,66.16012,65.55556,64.63733
66.25,66.097984,64.5,64.517494
67.125,66.045906,66.0,64.48735
68.55556,66.33104,65.125,64.82912
64.625,66.48182,68.42857,64.9079
64.625,66.808914,68.0,65.284164
65.22222,66.87693,68.22222,65.55121
59.75,66.93324,67.875,65.96044
65.71429,67.32533,65.25,66.39073
66.75,67.23221,65.22222,66.66222
68.44444,67.27321,66.25,66.86025
69.125,67.15745,67.125,66.89101
68.55556,67.17724,68.55556,66.89722
66.625,67.340385,64.625,66.949066
67.75,67.35812,64.625,67.065025
67.625,67.70663,65.22222,67.35303
66.888885,67.60793,59.75,67.04112
66.75,67.62741,65.71429,66.8286
67.44444,67.769165,66.75,66.923935
67.875,67.92034,68.44444,67.03428
68.25,67.84814,69.125,67.12871
66.111115,67.90165,68.55556,67.46041
68.25,67.80042,66.625,67.54683
66.888885,67.938995,67.75,67.76603
68.22222,68.161865,67.625,67.89452
67.75,68.20321,66.888885,67.91552
69.333336,68.17988,66.75,68.06035
68.125,68.04417,67.44444,68.09656
67.55556,67.77697,67.875,67.96789
66.875,67.6653,68.25,67.86894
66.77778,67.512115,66.111115,67.8219
65.875,67.50008,68.25,67.95447
66.375,67.408745,66.888885,68.02295
67.55556,67.3454,68.22222,67.833664
65.44444,67.346176,67.75,67.89317
67.666664,67.31131,69.333336,67.833176
64.75,67.285675,68.125,67.889366
64.625,67.25788,67.55556,67.85906
66.75,67.20117,66.875,67.90042
64.666664,66.91509,66.77778,67.70325
58.22222,66.80217,65.875,67.547226
66.5,66.77629,66.375,67.40724
66.333336,66.88174,67.55556,67.40111
64.125,66.570915,65.44444,67.119736
67.625,66.510925,67.666664,67.0345
64.833336,66.51658,64.75,67.146515
0.0,66.27207,64.625,66.89988
0.0,66.41151,66.75,67.03048
0.0,66.12974,64.666664,66.750694
0.0,65.62561,58.22222,66.28196
0.0,65.68661,66.5,66.379105
0.0,65.331116,66.333336,66.02914
0.0,65.57564,64.125,65.874016
0.0,65.3576,67.625,66.033875
0.0,65.246765,64.833336,65.925446
0.0,65.16161,0.0,65.61979
65.75,65.322815,0.0,65.817055
66.875,65.32616,0.0,65.694534
65.0,65.696106,0.0,65.82083
60.0,65.62447,0.0,65.6859
66.375,65.987686,0.0,65.90668
66.166664,66.537384,0.0,66.379684
66.666664,66.871216,0.0,66.65131
65.125,66.98815,0.0,66.73561
66.14286,67.05265,0.0,66.730484
65.55556,67.0213,65.75,66.73365
61.0,66.96591,66.875,66.69693
64.875,66.92899,65.0,66.67132
67.111115,67.11003,60.0,67.02575
66.25,66.82887,66.375,66.59721
66.77778,66.434616,66.166664,66.12943
65.375,66.44817,66.666664,65.86623
65.55556,66.00742,65.125,65.87775
64.875,66.01796,66.14286,65.82176
56.22222,65.84943,65.55556,65.66464
